y,m,d,t,Incremental Generation Energy (kWh),Incremental Building Demand (kWh),Incremental Insolation (kWh/M^2),Last Generation Energy (kWh),Last Insolation (kWh/M^2),Average Generation Power (kW),Average Irradiance (W/M^2),Average Ambient Temperature (C),Average Cell Temperature (C)
2012,11,10,00:00,-0.258,null,null,450290.424,null,-0.247,null,null,null
2012,11,10,01:00,-0.247,null,null,450290.177,null,-0.253,null,null,null
2012,11,10,02:00,-0.246,null,null,450289.931,null,-0.243,null,null,null
2012,11,10,03:00,-0.246,null,null,450289.685,null,-0.25,null,null,null
2012,11,10,04:00,-0.247,null,null,450289.438,null,-0.247,null,null,null
2012,11,10,05:00,-0.257,null,null,450289.181,null,-0.24,null,null,null
2012,11,10,06:00,-0.284,null,null,450288.897,null,-0.285,null,null,null
2012,11,10,07:00,9.233,null,null,450298.13,null,9.084,null,null,null
2012,11,10,08:00,31.744,null,null,450329.874,null,31.983,null,null,null
2012,11,10,09:00,52.813,null,null,450382.687,null,52.993,null,null,null
2012,11,10,10:00,64.899,null,null,450447.586,null,65.035,null,null,null
2012,11,10,11:00,70.406,null,null,450517.992,null,71.12,null,null,null
2012,11,10,12:00,43.824,null,null,450561.816,null,42.245,null,null,null
2012,11,10,13:00,50.354,null,null,450612.17,null,50.233,null,null,null
2012,11,10,14:00,33.982,null,null,450646.152,null,34.557,null,null,null
2012,11,10,15:00,23.897,null,null,450670.049,null,23.6,null,null,null
2012,11,10,16:00,7.487,null,null,450677.536,null,7.372,null,null,null
2012,11,10,17:00,0.27,null,null,450677.806,null,0.233,null,null,null
2012,11,10,18:00,-0.247,null,null,450677.559,null,-0.257,null,null,null
2012,11,10,19:00,-0.256,null,null,450677.303,null,-0.255,null,null,null
2012,11,10,20:00,-0.245,null,null,450677.058,null,-0.243,null,null,null
2012,11,10,21:00,-0.246,null,null,450676.812,null,-0.257,null,null,null
2012,11,10,22:00,-0.257,null,null,450676.555,null,-0.262,null,null,null
2012,11,10,23:00,-0.246,null,null,450676.309,null,-0.267,null,null,null
2012,11,11,00:00,-0.246,null,null,450676.063,null,-0.255,null,null,null
2012,11,11,01:00,-0.246,null,null,450675.817,null,-0.242,null,null,null
2012,11,11,02:00,-0.247,null,null,450675.57,null,-0.247,null,null,null
2012,11,11,03:00,-0.246,null,null,450675.324,null,-0.245,null,null,null
2012,11,11,04:00,-0.247,null,null,450675.077,null,-0.245,null,null,null
2012,11,11,05:00,-0.269,null,null,450674.808,null,-0.248,null,null,null
2012,11,11,06:00,-0.301,null,null,450674.507,null,-0.315,null,null,null
2012,11,11,07:00,5.806,null,null,450680.313,null,5.883,null,null,null
2012,11,11,08:00,25.218,null,null,450705.531,null,25.697,null,null,null
2012,11,11,09:00,47.809,null,null,450753.34,null,48.182,null,null,null
2012,11,11,10:00,63.467,null,null,450816.807,null,63.895,null,null,null
2012,11,11,11:00,56.903,null,null,450873.71,null,55.84,null,null,null
2012,11,11,12:00,65.71,null,null,450939.42,null,64.82,null,null,null
2012,11,11,13:00,62.418,null,null,451001.838,null,62.633,null,null,null
2012,11,11,14:00,46.257,null,null,451048.095,null,46.685,null,null,null
2012,11,11,15:00,23.935,null,null,451072.03,null,23.61,null,null,null
2012,11,11,16:00,6.378,null,null,451078.408,null,6.217,null,null,null
2012,11,11,17:00,-0.126,null,null,451078.282,null,-0.13,null,null,null
2012,11,11,18:00,-0.246,null,null,451078.036,null,-0.252,null,null,null
2012,11,11,19:00,-0.247,null,null,451077.789,null,-0.243,null,null,null
2012,11,11,20:00,-0.247,null,null,451077.542,null,-0.242,null,null,null
2012,11,11,21:00,-0.256,null,null,451077.286,null,-0.25,null,null,null
2012,11,11,22:00,-0.246,null,null,451077.04,null,-0.247,null,null,null
2012,11,11,23:00,-0.246,null,null,451076.794,null,-0.253,null,null,null
2012,11,12,00:00,-0.257,null,null,451076.537,null,-0.26,null,null,null
2012,11,12,01:00,-0.246,null,null,451076.291,null,-0.252,null,null,null
2012,11,12,02:00,-0.247,null,null,451076.044,null,-0.256,null,null,null
2012,11,12,03:00,-0.246,null,null,451075.798,null,-0.257,null,null,null
2012,11,12,04:00,-0.245,null,null,451075.553,null,-0.242,null,null,null
2012,11,12,05:00,-0.247,null,null,451075.306,null,-0.247,null,null,null
2012,11,12,06:00,-0.309,null,null,451074.997,null,-0.298,null,null,null
2012,11,12,07:00,3.705,null,null,451078.702,null,3.768,null,null,null
2012,11,12,08:00,11.919,null,null,451090.621,null,11.94,null,null,null
2012,11,12,09:00,15.832,null,null,451106.453,null,16.002,null,null,null
